hhid,round,comment,animaltype,s13q1,s13q2
1036,5,0,poultry,7,7
1036,5,0,Cat,1,1
1036,5,0,Donkey/Ass/mule,2,2
1036,5,0,Dog,0,0
1036,6,0,Dog,0,0
1036,6,0,Donkey/Ass/mule,0,0
1036,6,0,Cat,0,0
1036,6,0,poultry,0,0
1037,1,,Donkey/Ass/mule,0,0
1037,1,,poultry,0,0
1037,2,,poultry,0,0
1037,2,,Cat,2,2
1037,2,,Donkey/Ass/mule,0,0
1037,2,,Dog,0,0
1037,3,0,Dog,0,0
1037,3,0,Cat,0,0
1037,3,0,poultry,0,0
1037,3,0,Donkey/Ass/mule,0,0
1037,4,0,Cat,0,0
1037,4,0,Dog,0,0
1037,4,0,Donkey/Ass/mule,0,0
1037,4,0,poultry,0,0
1037,5,0,poultry,0,0
1037,5,0,Dog,0,0
1037,5,0,Cat,0,0
1037,5,0,Donkey/Ass/mule,0,0
1038,1,,Donkey/Ass/mule,0,0
1038,1,,poultry,0,0
1038,2,,Cat,1,1
1038,2,,Donkey/Ass/mule,0,0
1038,2,,Dog,0,0
1038,2,,poultry,0,0
1038,3,0,Cat,1,3
1038,3,0,poultry,0,0
1038,3,0,Donkey/Ass/mule,0,0
1038,3,0,Dog,0,0
1038,4,0,Dog,0,0
1038,4,0,Donkey/Ass/mule,0,0
1038,4,0,poultry,0,0
1038,4,0,Cat,3,3
1038,5,0,Dog,0,0
1038,5,0,Cat,1,1
1038,5,0,Donkey/Ass/mule,0,0
1038,5,0,poultry,0,0
1038,6,0,Dog,0,0
1038,6,0,poultry,0,0
1038,6,0,Cat,4,4
1038,6,0,Donkey/Ass/mule,0,0
1039,1,,Donkey/Ass/mule,0,0
1039,1,,poultry,7,7
1039,2,,Donkey/Ass/mule,0,0
1039,2,,Dog,2,2
1039,2,,poultry,12,12
1039,2,,Cat,1,1
1039,3,0,Dog,0,0
1039,3,0,Donkey/Ass/mule,0,0
1039,3,0,poultry,0,0
1039,3,0,Cat,0,0
1039,4,0,Cat,0,0
1039,4,0,Dog,2,2
1039,4,0,poultry,0,0
1039,4,0,Donkey/Ass/mule,0,0
1039,5,0,Cat,1,1
1039,5,0,Dog,0,0
1039,5,0,poultry,0,0
1039,5,0,Donkey/Ass/mule,0,0
1039,6,0,poultry,0,0
1039,6,0,Donkey/Ass/mule,0,0
1039,6,0,Dog,1,1
1039,6,0,Cat,1,1
1042,4,0,Donkey/Ass/mule,0,0
1042,4,0,Dog,0,0
1042,4,0,poultry,0,0
1042,4,0,Cat,0,0
1042,5,0,Dog,0,0
1042,5,0,poultry,0,0
1042,5,0,Donkey/Ass/mule,0,0
1042,5,0,Cat,1,1
1042,6,0,Cat,1,1
1042,6,0,Dog,0,0
1042,6,0,poultry,0,0
1042,6,0,Donkey/Ass/mule,0,0
1043,1,,Donkey/Ass/mule,0,0
1043,1,,poultry,0,0
1043,2,,Dog,1,1
1043,2,,poultry,0,0
1043,2,,Cat,0,0
1043,2,,Donkey/Ass/mule,1,1
1043,3,0,Donkey/Ass/mule,0,0
1043,3,0,Dog,0,0
1043,3,0,poultry,0,0
1043,3,0,Cat,0,0
1043,4,0,Donkey/Ass/mule,0,0
1043,4,0,poultry,0,0
1043,4,0,Dog,0,0
1043,4,0,Cat,0,0
1043,5,0,Cat,0,0
1043,5,0,poultry,0,0
1043,5,0,Donkey/Ass/mule,0,0
1043,5,0,Dog,0,0
1043,6,0,Donkey/Ass/mule,0,0
1043,6,0,Dog,0,0
1043,6,0,poultry,0,0
1043,6,0,Cat,0,0
1044,6,0,Dog,0,0
1044,6,0,poultry,0,0
1044,6,0,Cat,0,0
1044,6,0,Donkey/Ass/mule,0,0
1045,1,,Donkey/Ass/mule,0,0
1045,1,,poultry,0,0
1045,2,,Donkey/Ass/mule,0,0
1045,2,,Dog,0,0
1045,2,,poultry,0,0
1045,2,,Cat,0,0
1045,3,0,poultry,0,0
