hhid,round,gps_latitude,gps_longitude
1027,3,2.4000001,38.200001
1027,5,2.4000001,38.200001
1027,7,2.4000001,38.200001
1027,7,2.4000001,38.200001
1027,7,2.4000001,38.200001
1027,7,2.4000001,38.200001
1027,7,2.4000001,38.200001
1027,7,2.4000001,38.200001
1029,1,2.5,38.200001
1029,2,2.5,38.200001
1029,3,2.5,38.200001
1029,5,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.5,38.200001
1029,7,2.3,38.0
1031,1,2.5,38.099998
1031,2,2.5,38.099998
1031,3,2.5,38.099998
1031,5,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.5,38.099998
1031,7,2.3,38.0
1032,1,2.5,38.200001
1032,2,2.5,38.200001
1032,3,2.5,38.200001
1032,5,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.5,38.200001
1032,7,2.3,38.0
1033,1,2.5,38.099998
1033,2,2.5,38.099998
1033,3,2.5,38.099998
1033,5,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.5,38.099998
1033,7,2.3,38.0
1034,1,2.5,38.099998
1034,2,2.5,38.099998
1034,3,2.5,38.099998
1034,5,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.5,38.099998
1034,7,2.3,38.0
1035,1,2.5,38.200001
1035,2,2.5,38.200001
1035,3,2.5,38.200001
1035,5,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.5,38.200001
1035,7,2.3,38.0
1036,1,2.5,38.099998
1036,2,2.5,38.099998
1036,3,2.5,38.099998
1036,5,2.5,38.099998
1036,6,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1036,7,2.3,38.0
1037,1,2.5,38.099998
1037,2,2.5,38.099998
1037,3,2.5,38.099998
1037,5,2.5,38.099998
1037,7,2.5,38.099998
1037,7,2.5,38.099998
1037,7,2.5,38.099998
1037,7,2.5,38.099998
1037,7,2.5,38.099998
1037,7,2.4000001,38.0
1038,1,2.5,38.200001
1038,2,2.5,38.200001
1038,3,2.5,38.200001
1038,5,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.5,38.200001
1038,7,2.3,38.0
1039,1,2.3,38.0
1039,2,2.3,38.0
1039,3,2.3,38.0
1039,5,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1039,7,2.3,38.0
1042,4,2.3,38.0
1042,5,2.3,38.0
1042,7,2.3,38.0
1042,7,2.3,38.0
1042,7,2.3,38.0
1042,7,2.3,38.0
1043,1,2.5,38.099998
1043,2,2.5,38.099998
1043,3,2.5,38.099998
1043,5,2.5,38.099998
1043,7,2.5,38.099998
1043,7,2.5,38.099998
1043,7,2.5,38.099998
1043,7,2.5,38.099998
1043,7,2.5,38.099998
1043,7,2.5,38.099998
1044,6,2.3,38.0
1044,7,2.3,38.0
1045,1,2.5999999,38.099998
1045,2,2.5999999,38.099998
1045,3,2.5999999,38.099998
1045,5,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.5999999,38.099998
1045,7,2.3,38.0
1047,1,2.5,38.0
1047,2,2.5,38.0
1047,3,2.5,38.0
1047,5,2.5,38.0
1047,7,2.5,38.0
1047,7,2.5,38.0
1047,7,2.5,38.0
1047,7,2.5,38.0
1047,7,2.5,38.0
1047,7,2.5,38.0
1047,7,2.3,38.0
2001,1,2.5,38.099998
2001,2,2.5,38.099998
2001,3,2.5,38.099998
2001,5,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.5,38.099998
2001,7,2.3,38.099998
2002,1,2.5,38.099998
2002,2,2.5,38.099998
2002,3,2.5,38.099998
2002,5,2.5,38.099998
2002,7,2.5,38.099998
2002,7,2.5,38.099998
2002,7,2.5,38.099998
2002,7,2.5,38.099998
2002,7,2.5,38.099998
2002,7,2.5,38.099998
