hhid,round,comment,LSID,LSID_other,s14q74,s14q70_r6,s14q70b_r6,s14q74a,s14q66_r6,s14q66a_r6,s14q66b_r6,s14q75,s14q76,s14q77,s14q78,s14q78b
1015,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,5,0,Bank,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,5,0,MFI/FSA,,Yes,,,,,,,1,1,"Yes,BUT this source will not give more loan",,
1015,5,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,5,0,Money lenders,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,5,0,Family/friends,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,5,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,5,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1015,6,0,Bank,,No,,,,,,,,,,,
1015,6,0,MFI/FSA,,No,,,,,,,,,,,
1015,6,0,SACCO/Cooperatives,,Yes,Education costs,,Yes,10000,Yes,10000,,,,,
1015,6,0,Money lenders,,No,,,,,,,,,,,
1015,6,0,Family/friends,,No,,,,,,,,,,,
1015,6,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,,
1015,6,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,,
1015,6,0,Other (specify),,No,,,,,,,,,,,
1016,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1016,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1017,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1017,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1017,3,0,SACCO/Cooperatives,,Yes,,,,,,,4,4,"Yes,BUT this source will not give more loan",,
1017,3,0,Money lenders,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1017,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1017,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1017,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1018,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1018,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1018,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1018,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1018,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1018,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1018,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1019,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1019,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1020,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1020,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1020,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1020,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1020,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1020,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1020,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1021,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1021,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
